id,x(m),y(m),z(m),frequency(Hz),radiationPatternId,polarization3DModelId
1,0,0,1,3000000000,-1,-1
2,0,0.1,1,3000000000,-1,-1
3,0,0.2,1,3000000000,-1,-1
4,0,0.3,1,3000000000,-1,-1
5,0,0.4,1,3000000000,-1,-1
6,0,0.5,1,3000000000,-1,-1
7,0,0.6,1,3000000000,-1,-1
8,0,0.7,1,3000000000,-1,-1
9,0,0.8,1,3000000000,-1,-1
10,0,0.9,1,3000000000,-1,-1
11,0,1,1,3000000000,-1,-1
12,0,1.1,1,3000000000,-1,-1
13,0,1.2,1,3000000000,-1,-1
14,0,1.3,1,3000000000,-1,-1
15,0,1.4,1,3000000000,-1,-1
16,0,1.5,1,3000000000,-1,-1
17,0,1.6,1,3000000000,-1,-1
18,0,1.7,1,3000000000,-1,-1
19,0,1.8,1,3000000000,-1,-1
20,0,1.9,1,3000000000,-1,-1
21,0,2,1,3000000000,-1,-1
22,0,2.1,1,3000000000,-1,-1
23,0,2.2,1,3000000000,-1,-1
24,0,2.3,1,3000000000,-1,-1
25,0,2.4,1,3000000000,-1,-1
26,0,2.5,1,3000000000,-1,-1
27,0,2.6,1,3000000000,-1,-1
28,0,2.7,1,3000000000,-1,-1
29,0,2.8,1,3000000000,-1,-1
30,0,2.9,1,3000000000,-1,-1
31,0,3,1,3000000000,-1,-1
32,0,3.1,1,3000000000,-1,-1
33,0,3.2,1,3000000000,-1,-1
34,0,3.3,1,3000000000,-1,-1
35,0,3.4,1,3000000000,-1,-1
36,0,3.5,1,3000000000,-1,-1
37,0,3.6,1,3000000000,-1,-1
38,0,3.7,1,3000000000,-1,-1
39,0,3.8,1,3000000000,-1,-1
40,0,3.9,1,3000000000,-1,-1
41,0,4,1,3000000000,-1,-1
42,0,4.1,1,3000000000,-1,-1
43,0,4.2,1,3000000000,-1,-1
44,0,4.3,1,3000000000,-1,-1
45,0,4.4,1,3000000000,-1,-1
46,0,4.5,1,3000000000,-1,-1
47,0,4.6,1,3000000000,-1,-1
48,0,4.7,1,3000000000,-1,-1
49,0,4.8,1,3000000000,-1,-1
50,0,4.9,1,3000000000,-1,-1
51,0,5,1,3000000000,-1,-1
52,0,5.1,1,3000000000,-1,-1
53,0,5.2,1,3000000000,-1,-1
54,0,5.3,1,3000000000,-1,-1
55,0,5.4,1,3000000000,-1,-1
56,0,5.5,1,3000000000,-1,-1
57,0,5.6,1,3000000000,-1,-1
58,0,5.7,1,3000000000,-1,-1
59,0,5.8,1,3000000000,-1,-1
60,0,5.9,1,3000000000,-1,-1
61,0,5.99999999999999,1,3000000000,-1,-1
62,0,6.09999999999999,1,3000000000,-1,-1
63,0,6.19999999999999,1,3000000000,-1,-1
64,0,6.29999999999999,1,3000000000,-1,-1
65,0,6.39999999999999,1,3000000000,-1,-1
66,0,6.49999999999999,1,3000000000,-1,-1
67,0,6.59999999999999,1,3000000000,-1,-1
68,0,6.69999999999999,1,3000000000,-1,-1
69,0,6.79999999999999,1,3000000000,-1,-1
70,0,6.89999999999999,1,3000000000,-1,-1
71,0,6.99999999999999,1,3000000000,-1,-1
72,0,7.09999999999999,1,3000000000,-1,-1
73,0,7.19999999999999,1,3000000000,-1,-1
74,0,7.29999999999999,1,3000000000,-1,-1
75,0,7.39999999999999,1,3000000000,-1,-1
76,0,7.49999999999999,1,3000000000,-1,-1
